,method,n,time,accuracy
141,abess,380,0.011318683624267578,0.95
142,abess,380,0.015427350997924805,1.0
143,abess,380,0.025157928466796875,0.9
144,abess,380,0.018355607986450195,1.0
145,abess,380,0.016265392303466797,0.95
146,abess,380,0.016705751419067383,1.0
147,abess,380,0.012850522994995117,0.95
148,abess,380,0.014216423034667969,0.85
149,abess,380,0.01576399803161621,0.8
150,abess,400,0.023271799087524414,0.9
151,abess,400,0.018857955932617188,1.0
152,abess,400,0.01263117790222168,0.7
153,abess,400,0.028261423110961914,0.8
154,abess,400,0.011591672897338867,1.0
155,abess,400,0.017017602920532227,0.85
156,abess,400,0.015546083450317383,1.0
157,abess,400,0.012897729873657227,1.0
158,abess,400,0.01627349853515625,1.0
159,abess,400,0.024697542190551758,0.9
160,abess,420,0.016952037811279297,0.95
161,abess,420,0.019772052764892578,1.0
162,abess,420,0.023113012313842773,1.0
163,abess,420,0.0208740234375,0.9
164,abess,420,0.01751708984375,0.85
165,abess,420,0.018362760543823242,1.0
166,abess,420,0.016666412353515625,0.9
167,abess,420,0.014980077743530273,1.0
168,abess,420,0.015483856201171875,1.0
169,abess,420,0.012067079544067383,0.9
170,abess,440,0.024088144302368164,0.95
171,abess,440,0.014382600784301758,0.95
172,abess,440,0.01840066909790039,1.0
173,abess,440,0.02428412437438965,0.95
174,abess,440,0.021555423736572266,0.95
175,abess,440,0.016293764114379883,1.0
176,abess,440,0.01817011833190918,1.0
177,abess,440,0.020425796508789062,0.9
178,abess,440,0.013365507125854492,1.0
179,abess,440,0.01670241355895996,1.0
180,abess,460,0.01906418800354004,1.0
181,abess,460,0.019000530242919922,0.95
182,abess,460,0.014069795608520508,1.0
183,abess,460,0.018726587295532227,0.95
184,abess,460,0.02013230323791504,0.95
185,abess,460,0.02087116241455078,0.9
186,abess,460,0.02109527587890625,1.0
187,abess,460,0.01891946792602539,1.0
188,abess,460,0.01442265510559082,0.95
189,abess,460,0.017752647399902344,1.0
190,abess,480,0.020776987075805664,0.95
191,abess,480,0.01442718505859375,1.0
192,abess,480,0.018993377685546875,1.0
193,abess,480,0.023279666900634766,0.8
194,abess,480,0.019463300704956055,1.0
195,abess,480,0.017478227615356445,1.0
196,abess,480,0.018896102905273438,0.95
197,abess,480,0.020949363708496094,0.95
198,abess,480,0.023718833923339844,1.0
199,abess,480,0.01478123664855957,1.0
200,abess,500,0.02025628089904785,1.0
201,abess,500,0.01954054832458496,1.0
202,abess,500,0.020893096923828125,0.95
203,abess,500,0.01851487159729004,1.0
204,abess,500,0.015278339385986328,1.0
205,abess,500,0.025064706802368164,0.95
206,abess,500,0.021636486053466797,1.0
207,abess,500,0.020754575729370117,1.0
208,abess,500,0.018052339553833008,1.0
209,abess,500,0.0210723876953125,0.95
210,abess,520,0.024327516555786133,1.0
211,abess,520,0.019881486892700195,0.95
212,abess,520,0.024184226989746094,0.95
213,abess,520,0.01787424087524414,1.0
214,abess,520,0.02445054054260254,1.0
