,model,n,p,k,seed,method,time,accuracy,n_iters
364,ising,500,190,40,40,IHT_jit,0.426064947998384,1.0,6
365,ising,500,190,40,40,IHT,0.8936540119975689,1.0,6
366,ising,500,190,40,40,HTP_jit,0.4302847280050628,1.0,4
367,ising,500,190,40,40,HTP,3.7901229560011416,1.0,4
368,ising,500,190,40,40,CVXPY,3.1549182290036697,0.9,0
369,ising,500,190,40,41,SCOPE_jit,2.566859705999377,1.0,13
370,ising,500,190,40,41,SCOPE,29.538833216000057,1.0,13
371,ising,500,190,40,41,GraSP_jit,0.6616122749983333,0.975,7
372,ising,500,190,40,41,GraSP,9.689085020007042,0.975,7
373,ising,500,190,40,41,IHT_jit,0.4560621179989539,0.975,5
374,ising,500,190,40,41,IHT,1.4323822139995173,0.975,5
375,ising,500,190,40,41,HTP_jit,0.6017648199995165,1.0,4
376,ising,500,190,40,41,HTP,3.5923699560007663,1.0,4
377,ising,500,190,40,41,CVXPY,3.1927184630039847,0.925,0
378,ising,500,190,40,42,SCOPE_jit,1.6122204319981392,1.0,7
379,ising,500,190,40,42,SCOPE,15.715797778997512,1.0,7
380,ising,500,190,40,42,GraSP_jit,0.7658704329951433,1.0,6
381,ising,500,190,40,42,GraSP,7.972598542000924,1.0,6
382,ising,500,190,40,42,IHT_jit,0.470941995998146,0.95,5
383,ising,500,190,40,42,IHT,1.8211964600050123,0.95,5
384,ising,500,190,40,42,HTP_jit,0.5074931369963451,1.0,3
385,ising,500,190,40,42,HTP,4.360641068000405,1.0,3
386,ising,500,190,40,42,CVXPY,2.4401692879982875,0.875,0
387,ising,500,190,40,43,SCOPE_jit,1.6479566230045748,1.0,6
388,ising,500,190,40,43,SCOPE,11.26729121599783,1.0,6
389,ising,500,190,40,43,GraSP_jit,0.5952448530006222,0.975,5
390,ising,500,190,40,43,GraSP,6.406860713999777,0.975,5
391,ising,500,190,40,43,IHT_jit,0.538526162999915,1.0,3
392,ising,500,190,40,43,IHT,1.7521367879962781,1.0,3
393,ising,500,190,40,43,HTP_jit,0.7942856110021239,1.0,5
394,ising,500,190,40,43,HTP,12.228571527004533,1.0,5
395,ising,500,190,40,43,CVXPY,3.8698720749962376,0.95,0
396,ising,500,190,40,44,SCOPE_jit,2.9424568119939067,1.0,11
397,ising,500,190,40,44,SCOPE,29.80066980599804,1.0,11
398,ising,500,190,40,44,GraSP_jit,1.2932666650012834,1.0,8
399,ising,500,190,40,44,GraSP,12.325835691000975,1.0,8
400,ising,500,190,40,44,IHT_jit,0.3815288889963995,0.95,4
401,ising,500,190,40,44,IHT,1.3178219019973767,0.95,4
402,ising,500,190,40,44,HTP_jit,0.6568478049957776,1.0,4
403,ising,500,190,40,44,HTP,6.727332472997659,1.0,4
404,ising,500,190,40,44,CVXPY,3.0554953690007096,0.875,0
405,ising,500,190,40,45,SCOPE_jit,3.501205784996273,1.0,8
406,ising,500,190,40,45,SCOPE,20.877537675005442,1.0,8
407,ising,500,190,40,45,GraSP_jit,1.1081561239989242,0.975,5
408,ising,500,190,40,45,GraSP,8.791098973000771,0.975,5
409,ising,500,190,40,45,IHT_jit,0.426421397998638,1.0,6
