,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_fdr,gurobi_fdr,autodiff_mse,gurobi_mse,autodiff_time,gurobi_time
303,50,69,10,0.8,0.8,0.2,0.2,48689.09716784595,48689.09716725596,0.08436226844787598,3602.472432374954
304,100,50,7,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,12660.514240202503,12660.514240205533,0.04313063621520996,0.4502108097076416
305,100,95,10,0.8,0.8,0.2,0.2,44496.292562048824,44496.29256198485,0.19029664993286133,227.5644974708557
306,50,32,10,0.7,0.7,0.3,0.3,23762.817613650943,23762.817613651758,0.0263822078704834,0.16756224632263184
307,50,52,10,0.7,0.7,0.3,0.3,77664.51114662008,61684.33816451321,0.09795570373535156,67.0594003200531
308,50,35,10,0.9,1.0,0.1,0.0,18890.2398618863,10229.145599731868,0.03799557685852051,1.4412860870361328
309,100,25,10,0.9,0.9,0.1,0.1,2098.0405186028615,2098.0405186061944,0.040241241455078125,0.04868936538696289
310,100,50,9,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1111111111111111,22409.083186662403,14564.299113602543,0.06783771514892578,0.6541674137115479
311,50,54,10,0.7,0.8,0.3,0.2,60435.16965936274,27957.819965573457,0.05240654945373535,306.41224455833435
312,50,50,8,0.5,0.5,0.5,0.5,67304.59320226437,67304.59320042285,0.0793616771697998,22.43846607208252
313,100,50,4,1.0,1.0,0.0,0.0,5417.941770291975,5417.94177029058,0.048078060150146484,0.18783211708068848
314,50,50,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,2417.1592557699614,2417.1592557699405,0.027976036071777344,0.22546601295471191
315,50,31,10,0.7,0.7,0.3,0.3,59221.32148926589,48901.70792674974,0.028720617294311523,1.0651888847351074
316,50,38,10,0.7,0.7,0.3,0.3,50875.622333229185,50875.62233341219,0.05672430992126465,0.7371394634246826
317,50,21,10,0.9,0.9,0.1,0.1,35174.21742240868,35174.21741954344,0.018631696701049805,0.03759622573852539
318,100,45,10,0.9,0.9,0.1,0.1,15761.007160366269,15761.007160638392,0.13166356086730957,0.316605806350708
319,50,50,19,0.6842105263157895,0.631578947368421,0.3157894736842105,0.3684210526315789,93933.58775486413,134706.28333491544,0.11469602584838867,213.9287407398224
320,100,65,10,0.8,0.7,0.2,0.3,8331.703073783292,12733.174006561789,0.17252874374389648,13.172105550765991
321,50,33,10,0.7,0.6,0.3,0.4,15477.157086845345,4326.5962043327845,0.03387022018432617,0.7466275691986084
