n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
320,100,10,0.8,0.8,0.558001757,4.239469051
110,100,10,1,1,0.191876888,151.7146344
360,100,10,0.9,0.9,0.478860617,1.096798658
980,100,10,0.7,0.7,3.103217363,18.67848396
150,100,10,0.9,0.9,0.269973755,70.24732661
120,100,10,0.9,0.9,0.195473909,384.5793879
410,100,10,0.9,0.9,1.386864662,0.703059673
200,100,10,0.7,0.7,0.584744453,17.06695247
690,100,10,0.9,0.9,1.685689449,9.764384747
240,100,10,0.9,0.9,1.001609564,6.571711302
380,100,10,0.9,0.9,0.561526537,1.313322306
940,100,10,1,1,1.22206068,0.6979146
470,100,10,1,1,1.046103239,0.614206553
540,100,10,0.9,0.9,0.972774744,0.740968943
1000,100,10,1,1,1.876574993,0.458444118
610,100,10,1,1,2.15116477,0.661524296
830,100,10,1,1,1.734073639,0.83207202
700,100,10,0.9,0.9,1.446731091,0.822065115
220,100,10,0.8,0.8,0.495941401,68.71652079
580,100,10,0.8,0.8,0.96190238,1.21070981
960,100,10,0.8,0.8,1.61453104,2.331815958
270,100,10,0.9,0.9,0.562137127,20.40500832
800,100,10,0.8,0.8,1.854732037,2.954909325
310,100,10,0.8,0.9,0.935976744,2.377882719
100,100,10,0.9,0.9,0.230358362,1986.348489
670,100,10,0.9,0.9,1.226405859,4.162614822
810,100,10,0.9,0.9,1.243212938,0.407679081
570,100,10,1,1,1.779651403,0.516736984
660,100,10,0.8,0.8,1.629820585,4.515042782
500,100,10,1,1,1.003092527,0.511777401
930,100,10,0.9,0.9,1.949287176,0.871404886
840,100,10,0.9,0.9,1.719384193,15.89465308
190,100,10,0.8,0.8,0.544318438,11.78022242
680,100,10,0.9,0.9,1.315482616,3.304661989
230,100,10,0.8,0.8,0.962174177,9.485228062
730,100,10,1,1,1.469604731,0.413081408
250,100,10,0.9,0.9,0.713143826,3.513789654
290,100,10,1,1,0.429094791,0.621694565
770,100,10,1,1,1.398541212,0.516968012
160,100,10,0.9,0.9,0.408699274,35.56679893
870,100,10,0.9,0.9,1.717596054,2.529539108
420,100,10,0.8,0.8,0.778520107,3.357252836
330,100,10,0.9,0.9,0.601508379,0.684096575
170,100,10,1,1,0.292791128,12.58447218
600,100,10,0.9,0.9,1.214383602,1.221338987
530,100,10,0.9,0.9,1.005847931,1.254849911
740,100,10,0.9,0.9,1.745242119,5.408990383
430,100,10,1,1,0.87947154,0.870695353
260,100,10,0.9,0.9,1.14350462,12.93221307
790,100,10,1,1,1.60594368,0.644706011
300,100,10,0.9,0.9,0.511933327,2.475555182
620,100,10,0.9,0.9,1.007864952,0.519670725
140,100,10,1,1,0.35715127,19.00735855
520,100,10,0.9,0.9,0.949126959,0.656085253
880,100,10,1,1,1.699659824,8.48798275
400,100,10,1,1,0.499516487,0.422433615
490,100,10,1,1,0.968265057,1.032117844
280,100,10,0.9,0.9,0.850293398,3.105353355
560,100,10,0.9,0.9,1.126209021,0.709192276
850,100,10,0.8,0.8,2.111108065,23.93696928
990,100,10,1,1,1.930216551,0.645034552
760,100,10,1,1,0.991682529,0.885327578
460,100,10,1,1,1.479346991,0.579324961
640,100,10,1,1,0.800619841,0.403570175
820,100,10,1,1,1.513678074,0.42376256
370,100,10,0.8,0.8,0.944228649,12.44369602
650,100,10,0.9,0.9,1.310471535,0.609588385
720,100,10,0.8,0.8,1.940167904,10.14001131
860,100,10,0.9,0.9,2.429159164,2.237832785
550,100,10,1,1,1.244395256,0.572887182
900,100,10,1,1,2.220087528,0.634714127
