,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
174,100,100,24,0.7083333333333334,0.75,0.5516185760498047,3602.262618780136
175,50,50,11,0.6363636363636364,0.5454545454545454,0.07799792289733887,204.98415684700012
176,100,100,84,0.8571428571428571,0.8333333333333334,9.813738822937012,79.14494752883911
177,100,100,39,0.717948717948718,0.717948717948718,1.0671253204345703,3602.290422677994
178,50,50,26,0.38461538461538464,0.5769230769230769,0.19917774200439453,539.0338234901428
179,100,100,80,0.825,0.8,4.91773533821106,847.6163120269775
180,100,100,91,0.9120879120879121,0.9120879120879121,7.920213937759399,10.316291093826294
181,100,100,35,0.6857142857142857,0.6571428571428571,1.008758306503296,3602.3020882606506
182,50,50,33,0.7272727272727273,0.6666666666666666,0.19518518447875977,83.75652194023132
183,50,50,8,0.75,0.75,0.05041909217834473,5.982828140258789
184,100,100,30,0.6333333333333333,0.6666666666666666,0.9166259765625,3602.257793903351
185,100,100,87,0.8735632183908046,0.8620689655172413,8.265483856201172,54.61616015434265
186,50,50,48,0.9583333333333334,0.9583333333333334,0.39560532569885254,1.1242687702178955
187,100,100,5,0.8,1.0,0.15613031387329102,6.505601644515991
188,50,50,3,0.6666666666666666,0.6666666666666666,0.019286394119262695,0.18780040740966797
189,100,100,82,0.8292682926829268,0.8048780487804879,8.023139238357544,377.6630697250366
190,100,100,37,0.6216216216216216,0.6216216216216216,1.0299251079559326,3602.7732303142548
191,100,100,57,0.5964912280701754,0.5964912280701754,3.2518153190612793,3602.099412918091
192,50,50,44,0.8636363636363636,0.8636363636363636,0.8563978672027588,2.549539089202881
193,100,100,12,0.6666666666666666,0.6666666666666666,0.2409050464630127,3601.827214717865
194,100,100,97,0.979381443298969,0.9690721649484536,11.773360013961792,8.396233320236206
195,100,100,52,0.6153846153846154,0.5769230769230769,2.3386034965515137,3602.9475564956665
196,100,100,72,0.7916666666666666,0.75,6.2018883228302,3602.3259060382843
197,100,100,7,0.8571428571428571,0.8571428571428571,0.1949763298034668,1033.1767332553864
198,100,100,27,0.7777777777777778,0.7407407407407407,0.6654584407806396,3602.3105046749115
199,50,50,14,0.6428571428571429,0.5714285714285714,0.08661723136901855,247.25892448425293
200,50,50,25,0.64,0.56,0.19294142723083496,272.12538504600525
201,100,100,67,0.7164179104477612,0.7014925373134329,5.313868284225464,3602.193252801895
202,100,100,22,0.7727272727272727,0.7727272727272727,0.6806836128234863,3602.3752102851868
203,100,100,79,0.7974683544303798,0.7974683544303798,6.471816062927246,1905.448400735855
204,50,50,9,0.8888888888888888,0.8888888888888888,0.04186201095581055,6.3837409019470215
205,100,100,63,0.6984126984126984,0.6825396825396826,4.897194862365723,3602.2589452266693
206,100,100,74,0.7702702702702703,0.7702702702702703,5.506750583648682,3601.2239224910736
207,100,100,18,0.7222222222222222,0.7222222222222222,0.48720669746398926,3602.2492866516113
208,100,100,38,0.6052631578947368,0.631578947368421,1.3038239479064941,3602.4392211437225
209,100,100,29,0.7241379310344828,0.7241379310344828,0.6761720180511475,3602.5393471717834
210,50,50,16,0.5625,0.5,0.06197690963745117,622.1760146617889
211,50,50,36,0.7222222222222222,0.6944444444444444,0.46745753288269043,13.675400018692017
212,50,50,31,0.6774193548387096,0.5806451612903226,0.23065662384033203,184.46353101730347
213,100,100,45,0.6666666666666666,0.5333333333333333,1.0947864055633545,3602.280675172806
214,50,50,6,0.6666666666666666,0.6666666666666666,0.03423738479614258,6.315917015075684
215,100,100,85,0.8705882352941177,0.8588235294117647,8.0436270236969,187.49964380264282
216,100,100,96,0.9583333333333334,0.9583333333333334,7.570239305496216,8.424529552459717
217,50,50,46,0.9130434782608695,0.9130434782608695,0.6284174919128418,1.5178871154785156
218,100,100,40,0.625,0.6,1.2280652523040771,3602.1717042922974
219,100,100,60,0.6666666666666666,0.6,4.232848405838013,3602.2106659412384
220,50,50,1,1.0,1.0,0.015453577041625977,0.12810015678405762
221,100,100,15,0.7333333333333333,0.7333333333333333,0.5743157863616943,3602.3929879665375
222,50,50,2,1.0,1.0,0.01854681968688965,0.15447139739990234
223,100,100,55,0.6727272727272727,0.6545454545454545,2.399742841720581,3602.2054755687714
224,50,50,42,0.8571428571428571,0.8333333333333334,0.5011739730834961,7.7740983963012695
225,100,100,10,0.8,0.8,0.2948148250579834,898.1306667327881
226,50,50,17,0.7058823529411765,0.5882352941176471,0.11101484298706055,567.3847000598907
227,100,100,62,0.7096774193548387,0.6451612903225806,2.856349468231201,3602.176404953003
228,50,50,49,0.9795918367346939,0.9795918367346939,0.16898584365844727,0.13897323608398438
229,50,50,4,1.0,1.0,0.017114877700805664,0.43900299072265625
230,50,50,24,0.5833333333333334,0.5833333333333334,0.11071467399597168,347.88831067085266
231,100,100,77,0.7922077922077922,0.7922077922077922,5.169126987457275,3601.0455272197723
232,100,100,21,0.6666666666666666,0.6666666666666666,0.7361319065093994,3602.3084037303925
233,100,100,32,0.75,0.75,0.7433109283447266,3602.5788397789
234,50,50,19,0.7894736842105263,0.7368421052631579,0.12937521934509277,1779.3738610744476
235,50,50,39,0.7948717948717948,0.7692307692307693,0.43346309661865234,10.12130331993103
236,100,100,73,0.7945205479452054,0.7123287671232876,3.368835926055908,3600.901080608368
237,50,50,34,0.7352941176470589,0.7058823529411765,0.26111340522766113,49.45155477523804
238,100,100,28,0.8214285714285714,0.7142857142857143,0.7071962356567383,3602.318253517151
239,100,100,68,0.7058823529411765,0.6911764705882353,3.228191375732422,3602.364241838455
240,100,100,88,0.875,0.8636363636363636,5.646113872528076,28.42098641395569
241,100,100,23,0.7391304347826086,0.7391304347826086,0.8065228462219238,3602.16774058342
242,100,100,43,0.627906976744186,0.6511627906976745,1.1547696590423584,3602.329313993454
243,50,50,30,0.7333333333333333,0.6333333333333333,0.21910572052001953,49.70716619491577
244,50,50,41,0.7804878048780488,0.8292682926829268,0.5905275344848633,8.75350308418274
245,100,100,75,0.7733333333333333,0.7466666666666667,6.807016372680664,3601.563397884369
246,100,100,95,0.9578947368421052,0.9578947368421052,24.531404972076416,7.264759540557861
247,100,100,13,0.9230769230769231,0.8461538461538461,0.23419713973999023,3602.3427407741547
248,100,100,50,0.6,0.58,2.575019359588623,3602.330400943756
249,50,50,37,0.7297297297297297,0.7027027027027027,0.45351552963256836,9.346723079681396
250,100,100,25,0.68,0.72,0.5671792030334473,3602.3411893844604
251,100,100,90,0.9111111111111111,0.9111111111111111,10.430088520050049,21.38894271850586
252,100,100,65,0.6923076923076923,0.6461538461538462,5.1616668701171875,3602.0367670059204
253,100,100,9,0.8888888888888888,0.8888888888888888,0.16939496994018555,468.27818059921265
254,100,100,20,0.75,0.75,0.4660217761993408,3602.391371488571
