{'n': 50, 'k': 30, 'seed': 12412, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 23.4375, 'Lasso_time': 40.743409633636475, 'GraHTP_accuracy': 0.7333333333333333, 'GraHTP_time': 0.04778289794921875, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.24467778205871582, 'GraSP_accuracy': 0.6, 'GraSP_time': 0.010948657989501953, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.4700033664703369}
{'n': 50, 'k': 30, 'seed': 12462, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 23.4375, 'Lasso_time': 36.25286030769348, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.013902425765991211, 'GraHTP_cv_accuracy': 0.6, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.10086488723754883, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.01223611831665039, 'SCOPE_accuracy': 0.5333333333333333, 'SCOPE_time': 0.4427976608276367}
{'n': 50, 'k': 30, 'seed': 12422, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 28.125, 'Lasso_time': 34.2708523273468, 'GraHTP_accuracy': 0.6, 'GraHTP_time': 0.014540672302246094, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.10508370399475098, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.0304720401763916, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.6150462627410889}
{'n': 50, 'k': 30, 'seed': 12472, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 25.0, 'Lasso_time': 32.45432233810425, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.011841297149658203, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.09633445739746094, 'GraSP_accuracy': 0.6666666666666666, 'GraSP_time': 0.02341604232788086, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.5382039546966553}
{'n': 150, 'k': 30, 'seed': 12640, 'Lasso_accuracy': 0.9333333333333333, 'Lasso_best_lambda': 56.25, 'Lasso_time': 130.91060328483582, 'GraHTP_accuracy': 0.9333333333333333, 'GraHTP_time': 0.03015303611755371, 'GraHTP_cv_accuracy': 0.9333333333333333, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 1.964399814605713, 'GraSP_accuracy': 0.9666666666666667, 'GraSP_time': 0.014170169830322266, 'SCOPE_accuracy': 0.9333333333333333, 'SCOPE_time': 0.977076530456543}
{'n': 50, 'k': 30, 'seed': 12482, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 25.78125, 'Lasso_time': 44.79743313789368, 'GraHTP_accuracy': 0.6333333333333333, 'GraHTP_time': 0.013288259506225586, 'GraHTP_cv_accuracy': 0.6666666666666666, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.1421372890472412, 'GraSP_accuracy': 0.5333333333333333, 'GraSP_time': 0.027634620666503906, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.5342428684234619}
{'n': 150, 'k': 30, 'seed': 12620, 'Lasso_accuracy': 0.8333333333333334, 'Lasso_best_lambda': 56.25, 'Lasso_time': 137.3747992515564, 'GraHTP_accuracy': 0.8666666666666667, 'GraHTP_time': 0.026296377182006836, 'GraHTP_cv_accuracy': 0.8666666666666667, 'GraHTP_best_step_size': 0.002154434690031882, 'GraHTP_cv_time': 2.419024705886841, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.016604900360107422, 'SCOPE_accuracy': 0.8666666666666667, 'SCOPE_time': 0.8017404079437256}
{'n': 150, 'k': 30, 'seed': 12680, 'Lasso_accuracy': 0.9, 'Lasso_best_lambda': 53.125, 'Lasso_time': 142.24787616729736, 'GraHTP_accuracy': 0.9, 'GraHTP_time': 0.08554673194885254, 'GraHTP_cv_accuracy': 0.9, 'GraHTP_best_step_size': 0.003593813663804626, 'GraHTP_cv_time': 1.4930434226989746, 'GraSP_accuracy': 0.9, 'GraSP_time': 0.018759965896606445, 'SCOPE_accuracy': 0.9, 'SCOPE_time': 1.3216021060943604}
{'n': 50, 'k': 30, 'seed': 12433, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 25.0, 'Lasso_time': 30.76721978187561, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.01978135108947754, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.07852983474731445, 'GraSP_accuracy': 0.6666666666666666, 'GraSP_time': 0.02020096778869629, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.44762253761291504}
{'n': 100, 'k': 30, 'seed': 12541, 'Lasso_accuracy': 0.8666666666666667, 'Lasso_best_lambda': 70.3125, 'Lasso_time': 76.75834608078003, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.013759613037109375, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.7807104587554932, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.0709388256072998, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 0.882105827331543}
{'n': 150, 'k': 30, 'seed': 12630, 'Lasso_accuracy': 0.8, 'Lasso_best_lambda': 70.3125, 'Lasso_time': 147.83675599098206, 'GraHTP_accuracy': 0.8, 'GraHTP_time': 0.09733462333679199, 'GraHTP_cv_accuracy': 0.8333333333333334, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 2.1892759799957275, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.02102065086364746, 'SCOPE_accuracy': 0.8333333333333334, 'SCOPE_time': 0.9142875671386719}
{'n': 150, 'k': 30, 'seed': 12610, 'Lasso_accuracy': 0.9333333333333333, 'Lasso_best_lambda': 66.40625, 'Lasso_time': 148.71760725975037, 'GraHTP_accuracy': 0.9333333333333333, 'GraHTP_time': 0.01812577247619629, 'GraHTP_cv_accuracy': 0.9, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 2.2229323387145996, 'GraSP_accuracy': 0.9, 'GraSP_time': 0.02056717872619629, 'SCOPE_accuracy': 0.9666666666666667, 'SCOPE_time': 1.0705397129058838}
