,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
1787,900,11787,1.0,2.127929449081421,0.62,0.9363172054290771,1.0,0.001291549665014884,16.374357223510742,0.98,0.16116619110107422,0.98,89648.4375,15.06372857093811
1788,900,11788,1.0,2.2727739810943604,0.52,3.296534299850464,1.0,0.000774263682681127,5.300273418426514,0.94,0.02089238166809082,1.0,93750.0,5.100067853927612
1789,900,11789,1.0,2.4076719284057617,0.5,2.5487570762634277,1.0,0.000774263682681127,14.25952672958374,0.98,0.14545845985412598,1.0,75000.0,3.6457290649414062
1790,900,11790,1.0,2.265810012817383,0.44,2.2624518871307373,1.0,0.000774263682681127,15.00619912147522,0.98,0.035137176513671875,1.0,84375.0,8.942909479141235
1791,900,11791,1.0,1.197664499282837,0.5,2.1784846782684326,1.0,0.000774263682681127,11.346348524093628,1.0,0.06290555000305176,1.0,100000.0,5.909392356872559
1792,900,11792,1.0,1.8549132347106934,0.46,1.324713945388794,1.0,0.001291549665014884,15.005766868591309,0.96,0.18502092361450195,0.96,93750.0,8.291577339172363
1793,900,11793,1.0,0.34557366371154785,0.42,0.9827439785003662,1.0,0.000774263682681127,10.943265914916992,0.98,0.021549224853515625,1.0,75000.0,4.442281484603882
1794,900,11794,1.0,2.641321897506714,0.48,5.668330192565918,1.0,0.000774263682681127,30.989046812057495,0.98,0.15512299537658691,1.0,84375.0,12.418221473693848
1795,900,11795,1.0,0.8608715534210205,0.42,4.749926805496216,1.0,0.001291549665014884,33.718239545822144,1.0,0.025224685668945312,1.0,100000.0,10.901949167251587
1796,900,11796,1.0,2.833738088607788,0.6,9.75388240814209,1.0,0.000774263682681127,25.392428398132324,1.0,0.09369540214538574,0.96,112500.0,17.034207820892334
1797,900,11797,1.0,0.8937067985534668,0.48,2.460800886154175,1.0,0.000774263682681127,24.53412437438965,1.0,0.11188244819641113,1.0,100000.0,12.54725432395935
1798,900,11798,1.0,3.2417421340942383,0.54,1.3478999137878418,1.0,0.000774263682681127,30.843926429748535,0.98,0.2402513027191162,0.98,109570.3125,16.13004469871521
1799,900,11799,1.0,0.9727485179901123,0.52,3.524994134902954,1.0,0.000774263682681127,23.493112802505493,1.0,0.04311847686767578,1.0,100000.0,7.898474931716919
1800,950,11800,1.0,2.214385509490967,0.4,2.9530527591705322,1.0,0.000774263682681127,20.271388053894043,1.0,0.16309571266174316,0.98,114704.13208007812,24.39920425415039
1801,950,11801,1.0,0.6434237957000732,0.54,4.006727933883667,1.0,0.000774263682681127,8.622318506240845,1.0,0.022641420364379883,1.0,100000.0,6.2108471393585205
1802,950,11802,1.0,0.6977536678314209,0.42,2.8284096717834473,1.0,0.000774263682681127,14.801037788391113,1.0,0.07785677909851074,1.0,100000.0,6.53766655921936
1803,950,11803,1.0,0.6965928077697754,0.54,5.315366983413696,1.0,0.000774263682681127,14.587567567825317,1.0,0.09702301025390625,0.98,125000.0,8.550169467926025
1804,950,11804,1.0,0.6271684169769287,0.46,1.520982027053833,1.0,0.000774263682681127,16.692914962768555,1.0,0.026674747467041016,1.0,100000.0,8.752486228942871
1805,950,11805,1.0,0.9902677536010742,0.54,3.100501775741577,1.0,0.001291549665014884,9.983857870101929,1.0,0.16138887405395508,0.98,125000.0,5.994196653366089
1806,950,11806,1.0,1.0966603755950928,0.34,1.476320505142212,1.0,0.001291549665014884,8.747336864471436,1.0,0.05039095878601074,1.0,100000.0,6.245363235473633
