n,k,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
350,40,231,0.875,109.5703125,156.69875502586365,0.975,0.06328177452087402,0.975,0.003593813663804626,7.166316509246826,0.925,0.03286242485046387,0.975,1.0307221412658691
150,40,167,0.825,50,54.740081548690796,0.85,0.05302286148071289,0.925,0.005994842503189409,0.7148544788360596,0.8,0.0232393741607666,0.95,0.6769871711730957
250,40,199,0.75,112.5,100.42020058631897,0.8,0.07440781593322754,0.85,0.005994842503189409,6.728910207748413,0.725,0.034810781478881836,0.925,1.120208501815796
200,40,183,0.85,72.509765625,94.05281448364258,0.9,0.06345224380493164,0.95,0.005994842503189409,2.7145137786865234,0.85,0.047457218170166016,0.975,0.8753683567047119
300,40,215,0.9,99.609375,138.28068900108337,0.925,0.07406139373779297,0.95,0.003593813663804626,9.35144591331482,0.875,0.09745383262634277,0.975,1.1838574409484863
150,40,168,0.8,57.12890625,79.39052319526672,0.75,0.03104400634765625,0.925,0.005994842503189409,0.8817110061645508,0.85,0.061699867248535156,0.95,0.8849093914031982
350,40,232,0.9,100,127.6683189868927,1,0.0581202507019043,1,0.002154434690031882,8.808314561843872,0.825,0.03240633010864258,1,1.545544147491455
250,40,200,0.875,93.75,95.10873913764954,0.875,0.07266497611999512,0.95,0.005994842503189409,5.228515625,0.85,0.07544493675231934,0.95,0.798198938369751
150,40,169,0.825,84.375,54.26480531692505,0.675,0.038059234619140625,0.75,0.01,0.6899080276489258,0.725,0.03844618797302246,0.825,0.9659247398376465
200,40,184,0.9,68.4814453125,94.44578003883362,0.95,0.04163217544555664,1,0.003593813663804626,2.8212857246398926,0.9,0.01868748664855957,0.975,0.5765273571014404
300,40,216,0.95,112.5,105.00030875205994,0.975,0.057080984115600586,0.975,0.003593813663804626,7.436483144760132,0.925,0.12957406044006348,0.975,0.8113696575164795
200,40,185,0.675,84.375,67.73399353027344,0.7,0.05609416961669922,0.625,0.003593813663804626,3.5537705421447754,0.575,0.051207780838012695,0.725,1.0275788307189941
150,40,170,0.85,65.460205078125,76.64827632904053,0.9,0.051496267318725586,0.925,0.003593813663804626,1.4469492435455322,0.875,0.04886937141418457,0.95,0.4434323310852051
250,40,201,0.85,96.6796875,118.85748481750488,0.825,0.05000591278076172,0.95,0.003593813663804626,6.367567539215088,0.725,0.03064727783203125,0.95,1.0673449039459229
350,40,233,0.825,179.296875,145.68267917633057,1,0.09429430961608887,1,0.003593813663804626,13.063765287399292,0.725,0.03520011901855469,1,1.4802839756011963
300,40,217,0.85,155.89599609375,127.82149958610535,0.85,0.08314704895019531,0.9,0.005994842503189409,8.050510168075562,0.675,0.0428156852722168,0.9,1.711848497390747
200,40,186,0.85,66.40625,96.97214818000793,0.85,0.04490232467651367,0.925,0.005994842503189409,2.195002317428589,0.825,0.05646109580993652,0.9,0.5171365737915039
250,40,202,0.85,93.75,104.83633708953857,0.95,0.06845283508300781,0.975,0.003593813663804626,6.021681547164917,0.725,0.03743863105773926,0.975,0.7470288276672363
350,40,234,0.95,112.5,138.25337719917297,1,0.08129072189331055,1,0.002154434690031882,8.16011357307434,0.9,0.029842615127563477,1,1.3402280807495117
200,40,187,0.825,71.96903228759766,115.65252590179443,0.825,0.04627180099487305,0.925,0.005994842503189409,1.4582505226135254,0.8,0.04657769203186035,0.925,0.45193028450012207
300,40,219,0.9,125,100.88133096694946,0.975,0.06840991973876953,1,0.003593813663804626,7.518192529678345,0.8,0.027515411376953125,1,1.1276123523712158
250,40,203,0.8,97.62530028820038,164.0710325241089,0.875,0.06567120552062988,0.925,0.005994842503189409,5.306549310684204,0.775,0.03148293495178223,0.95,0.9862358570098877
200,40,188,0.875,59.765625,93.43023371696472,0.925,0.04703640937805176,0.925,0.005994842503189409,2.804556369781494,0.8,0.022637128829956055,0.95,0.5009422302246094
