,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time
618,350,12963,1.0,3.5795135498046875,1.0,0.27455735206604004,1.0,0.001291549665014884,19.07289719581604,0.86,0.11960506439208984
619,350,12964,1.0,2.3389036655426025,1.0,0.07878565788269043,1.0,0.001291549665014884,20.051937341690063,0.74,0.40343594551086426
620,350,12965,1.0,0.8869986534118652,0.98,0.6706125736236572,1.0,0.002154434690031882,23.332884550094604,0.88,0.26641082763671875
621,350,12966,1.0,3.064560651779175,1.0,0.27541017532348633,1.0,0.002154434690031882,13.001388311386108,0.86,0.04345512390136719
622,350,12967,1.0,2.155388355255127,1.0,0.16793560981750488,0.98,0.001291549665014884,24.666712522506714,0.88,0.20644545555114746
623,350,12968,1.0,1.0438389778137207,1.0,0.03307771682739258,1.0,0.001291549665014884,16.717803716659546,0.88,0.20406627655029297
624,350,12969,1.0,2.6935558319091797,0.98,4.741044759750366,0.98,0.002154434690031882,18.982436895370483,0.86,0.044075965881347656
625,350,12970,1.0,0.9651134014129639,1.0,0.18185687065124512,1.0,0.000774263682681127,27.030772924423218,0.72,0.15549731254577637
626,350,12971,1.0,1.1568682193756104,1.0,0.07667136192321777,1.0,0.002154434690031882,18.438902139663696,0.88,0.49569201469421387
627,350,12972,1.0,0.9646470546722412,1.0,0.07031488418579102,1.0,0.001291549665014884,22.27733874320984,0.7,0.22635102272033691
628,350,12973,1.0,1.0382626056671143,1.0,3.394467353820801,0.98,0.001291549665014884,13.151153326034546,0.68,0.03867483139038086
629,350,12974,1.0,0.5040631294250488,1.0,0.03883647918701172,0.98,0.001291549665014884,10.292366743087769,0.84,0.09897279739379883
630,350,12975,1.0,1.4486169815063477,1.0,0.03353524208068848,1.0,0.001291549665014884,15.43075156211853,0.78,0.04488515853881836
631,350,12976,0.98,1.802088975906372,0.96,0.8564324378967285,0.96,0.002154434690031882,18.738908529281616,0.86,0.2370765209197998
632,350,12977,1.0,3.7553517818450928,1.0,0.13959264755249023,0.94,0.001291549665014884,15.100146770477295,0.82,0.34394407272338867
633,350,12978,1.0,2.2692975997924805,0.98,0.3050835132598877,1.0,0.001291549665014884,13.355512142181396,0.76,0.24890542030334473
634,350,12979,0.98,4.41962194442749,0.98,0.9628748893737793,0.96,0.001291549665014884,14.299773216247559,0.78,0.04875540733337402
635,350,12980,1.0,3.4399335384368896,0.98,0.8122701644897461,0.98,0.001291549665014884,16.525344848632812,0.68,0.2060401439666748
636,350,12981,1.0,0.7990677356719971,1.0,0.17040419578552246,1.0,0.001291549665014884,19.96213960647583,0.84,0.19178009033203125
637,350,12982,1.0,0.7642834186553955,1.0,0.02715325355529785,1.0,0.001291549665014884,20.653727531433105,0.82,0.042058706283569336
638,350,12983,1.0,5.791726112365723,1.0,0.3640713691711426,1.0,0.001291549665014884,16.512319564819336,0.72,0.08215951919555664
639,350,12984,1.0,2.4526569843292236,1.0,0.0743412971496582,1.0,0.001291549665014884,21.38291096687317,0.82,0.19669342041015625
640,350,12985,1.0,2.580183506011963,1.0,0.26285719871520996,1.0,0.002154434690031882,15.07166838645935,0.72,0.12125015258789062
641,350,12986,0.98,2.8783130645751953,0.98,1.9816932678222656,0.88,0.001291549665014884,16.058406352996826,0.8,0.09704136848449707
642,350,12987,0.98,0.5179793834686279,0.94,0.34906983375549316,0.98,0.001291549665014884,13.729129076004028,0.78,0.3719477653503418
643,350,12988,1.0,1.1395866870880127,0.96,2.4083755016326904,0.98,0.001291549665014884,19.118502855300903,0.8,0.16899657249450684
644,350,12989,1.0,0.8719582557678223,0.96,0.2938697338104248,0.96,0.001291549665014884,17.433937788009644,0.86,0.04326796531677246
645,350,12990,1.0,0.9827778339385986,0.96,2.0749011039733887,1.0,0.001291549665014884,17.183516025543213,0.84,0.17579889297485352
646,350,12991,1.0,0.550065279006958,1.0,0.032518625259399414,0.98,0.001291549665014884,10.989337921142578,0.76,0.09501266479492188
647,350,12992,1.0,1.0027737617492676,1.0,1.325864553451538,0.98,0.001291549665014884,19.695035219192505,0.8,0.24403977394104004
648,350,12993,1.0,0.5519874095916748,1.0,0.04878425598144531,1.0,0.002154434690031882,10.77127981185913,0.76,0.0826869010925293
649,350,12994,1.0,0.6278781890869141,1.0,1.285388708114624,1.0,0.001291549665014884,11.587559700012207,0.82,0.2135939598083496
650,350,12995,1.0,1.0571799278259277,1.0,0.18334460258483887,1.0,0.001291549665014884,8.034599781036377,0.84,0.043465375900268555
651,350,12996,1.0,0.7291812896728516,1.0,0.0610203742980957,1.0,0.001291549665014884,6.22323203086853,0.8,0.0794215202331543
652,350,12997,1.0,1.9623258113861084,0.98,0.45600247383117676,1.0,0.002154434690031882,6.016974925994873,0.82,0.039951324462890625
653,350,12998,1.0,0.6509816646575928,1.0,0.07419276237487793,0.96,0.001291549665014884,5.339130878448486,0.76,0.04159212112426758
654,350,12999,1.0,0.4375741481781006,0.98,0.22702956199645996,0.98,0.001291549665014884,5.695883274078369,0.82,0.04187798500061035
655,350,13000,1.0,0.42064952850341797,0.98,0.28931736946105957,1.0,0.001291549665014884,4.976727724075317,0.86,0.04250049591064453
656,350,13001,1.0,0.5119547843933105,1.0,0.28061604499816895,1.0,0.001291549665014884,6.672403812408447,0.82,0.03957724571228027
657,350,13002,1.0,0.4604339599609375,1.0,0.030302047729492188,1.0,0.002154434690031882,4.589786529541016,0.76,0.04082679748535156
658,350,13003,1.0,0.4180450439453125,1.0,0.03016495704650879,1.0,0.002154434690031882,4.843946933746338,0.8,0.1286313533782959
659,350,13004,0.96,0.469592809677124,0.96,1.9258148670196533,0.92,0.001291549665014884,13.547517776489258,0.82,0.04257798194885254
