,n,seed,IHT_accuracy,IHT_cv_accuracy,model
658,350,10658,0.22,0.78,linear
659,350,10659,0.26,0.72,linear
660,350,10660,0.24,0.84,linear
661,350,10661,0.2,0.84,linear
662,350,10662,0.16,0.8,linear
663,350,10663,0.24,0.9,linear
664,350,10664,0.26,0.76,linear
665,350,10665,0.26,0.78,linear
666,350,10666,0.22,0.7,linear
667,350,10667,0.14,0.78,linear
668,350,10668,0.32,0.86,linear
669,350,10669,0.22,0.72,linear
670,350,10670,0.2,0.78,linear
671,350,10671,0.18,0.84,linear
672,350,10672,0.24,0.68,linear
673,350,10673,0.28,0.68,linear
674,350,10674,0.16,0.68,linear
675,350,10675,0.24,0.92,linear
676,350,10676,0.2,0.86,linear
677,350,10677,0.18,0.8,linear
678,350,10678,0.22,0.86,linear
679,350,10679,0.2,0.74,linear
680,350,10680,0.18,0.72,linear
681,350,10681,0.18,0.86,linear
682,350,10682,0.26,0.8,linear
683,350,10683,0.26,0.86,linear
684,350,10684,0.26,0.78,linear
685,350,10685,0.24,0.78,linear
686,350,10686,0.16,0.84,linear
687,350,10687,0.26,0.76,linear
688,350,10688,0.16,0.74,linear
689,350,10689,0.1,0.72,linear
690,350,10690,0.18,0.8,linear
691,350,10691,0.26,0.8,linear
692,350,10692,0.1,0.86,linear
693,350,10693,0.12,0.86,linear
694,350,10694,0.06,0.76,linear
695,350,10695,0.28,0.9,linear
696,350,10696,0.24,0.72,linear
697,350,10697,0.04,0.74,linear
698,350,10698,0.28,0.9,linear
699,350,10699,0.26,0.86,linear
700,400,10700,0.32,0.96,linear
701,400,10701,0.18,0.8,linear
702,400,10702,0.24,0.92,linear
703,400,10703,0.22,0.7,linear
704,400,10704,0.26,0.94,linear
705,400,10705,0.24,0.96,linear
706,400,10706,0.2,0.92,linear
707,400,10707,0.2,0.9,linear
708,400,10708,0.2,0.86,linear
709,400,10709,0.2,0.96,linear
710,400,10710,0.2,0.92,linear
711,400,10711,0.2,0.92,linear
712,400,10712,0.3,0.98,linear
713,400,10713,0.22,0.88,linear
714,400,10714,0.2,0.98,linear
715,400,10715,0.22,0.96,linear
716,400,10716,0.22,0.9,linear
717,400,10717,0.3,0.98,linear
718,400,10718,0.2,0.94,linear
719,400,10719,0.16,0.88,linear
720,400,10720,0.2,0.86,linear
721,400,10721,0.24,0.98,linear
722,400,10722,0.26,0.86,linear
723,400,10723,0.3,0.86,linear
724,400,10724,0.24,0.9,linear
725,400,10725,0.14,0.92,linear
726,400,10726,0.2,0.96,linear
727,400,10727,0.22,0.82,linear
728,400,10728,0.18,0.96,linear
729,400,10729,0.16,0.86,linear
730,400,10730,0.16,0.96,linear
731,400,10731,0.16,0.96,linear
732,400,10732,0.18,0.94,linear
733,400,10733,0.22,0.9,linear
734,400,10734,0.22,0.96,linear
735,400,10735,0.16,0.9,linear
736,400,10736,0.18,0.9,linear
737,400,10737,0.26,0.94,linear
738,400,10738,0.26,0.96,linear
739,400,10739,0.26,0.98,linear
740,400,10740,0.26,0.82,linear
741,400,10741,0.3,0.94,linear
742,400,10742,0.22,0.92,linear
743,400,10743,0.32,0.92,linear
744,400,10744,0.22,0.92,linear
745,400,10745,0.28,0.96,linear
746,400,10746,0.28,0.9,linear
747,400,10747,0.14,0.8,linear
748,400,10748,0.28,1.0,linear
749,400,10749,0.28,0.96,linear
750,400,10750,0.24,0.82,linear
751,400,10751,0.14,0.86,linear
752,400,10752,0.26,0.88,linear
753,400,10753,0.32,0.94,linear
754,400,10754,0.24,0.9,linear
755,400,10755,0.24,0.84,linear
756,400,10756,0.28,0.96,linear
757,400,10757,0.28,0.92,linear
758,400,10758,0.2,0.94,linear
759,400,10759,0.24,1.0,linear
760,400,10760,0.26,0.96,linear
761,400,10761,0.16,0.86,linear
762,400,10762,0.22,0.94,linear
763,400,10763,0.22,0.82,linear
764,400,10764,0.26,0.88,linear
765,400,10765,0.22,0.88,linear
766,400,10766,0.26,0.96,linear
767,400,10767,0.22,0.9,linear
768,400,10768,0.24,0.88,linear
769,400,10769,0.24,0.9,linear
770,400,10770,0.24,0.8,linear
