,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
773,400,889,0.64,21.106743335723877,0.7,39.95636057853699,0.66,38.46651315689087
774,450,1032,0.7,4.194324254989624,0.72,38.597522497177124,0.66,41.64471101760864
775,500,1144,0.72,2.991773843765259,0.74,117.39158964157104,0.68,67.87926459312439
776,450,1004,0.68,0.7388677597045898,0.78,54.76640272140503,0.7,54.26575803756714
777,400,860,0.6,3.2368838787078857,0.64,57.111616373062134,0.58,59.367276191711426
778,500,1114,0.7,17.620433807373047,0.74,79.96311283111572,0.7,10.461892127990723
779,400,917,0.7,2.51328444480896,0.72,5.043422698974609,0.6,29.348551511764526
780,400,946,0.6,3.21075439453125,0.64,30.575922966003418,0.68,27.343902587890625
781,450,1033,0.64,4.999078989028931,0.68,22.521304845809937,0.7,27.731164932250977
782,450,1005,0.64,4.865860462188721,0.68,7.977326154708862,0.74,14.625420093536377
783,400,890,0.58,1.4633381366729736,0.64,46.00434136390686,0.64,35.801767110824585
784,500,1084,0.66,3.7031455039978027,0.76,35.96114754676819,0.68,18.50409960746765
785,400,947,0.68,1.4812252521514893,0.8,43.00734734535217,0.64,36.474575996398926
786,500,1115,0.6,5.9069459438323975,0.72,102.4467887878418,0.54,74.61991286277771
787,400,861,0.54,14.205405950546265,0.6,68.98218512535095,0.48,20.050883054733276
788,500,1145,0.68,5.350383520126343,0.74,66.33773565292358,0.68,64.45443105697632
789,450,973,0.68,4.450349807739258,0.74,55.87945914268494,0.62,46.532424211502075
790,400,891,0.64,0.07457900047302246,0.74,49.16419219970703,0.76,21.21005916595459
791,400,918,0.52,0.028574228286743164,0.62,84.68151712417603,0.52,37.322139501571655
792,450,1006,0.6,2.0515334606170654,0.7,82.87673354148865,0.72,18.041990756988525
793,450,1034,0.64,19.47639274597168,0.66,68.56003165245056,0.64,55.0426025390625
794,450,1060,0.64,12.57969355583191,0.66,28.433985471725464,0.68,14.452915906906128
795,500,1116,0.76,1.854112148284912,0.82,45.02768921852112,0.74,21.928397178649902
796,450,974,0.6,11.522900104522705,0.66,87.2471239566803,0.72,37.13203024864197
797,400,948,0.6,7.457737684249878,0.62,62.79756140708923,0.64,48.82584857940674
798,400,892,0.66,19.77151346206665,0.72,44.17764902114868,0.5,17.768693685531616
799,500,1146,0.58,0.3795018196105957,0.64,101.74247622489929,0.56,61.29530906677246
800,450,1061,0.7,10.859302282333374,0.78,225.5386037826538,0.58,28.813292026519775
801,500,1085,0.76,9.36212706565857,0.84,33.537776947021484,0.7,35.80429220199585
802,400,919,0.62,6.0734241008758545,0.68,84.95499181747437,0.64,56.805214405059814
803,450,975,0.62,0.2565803527832031,0.6,79.26250839233398,0.74,52.62402892112732
804,400,949,0.62,4.426112651824951,0.62,118.87136554718018,0.52,25.160062551498413
805,400,862,0.64,1.8366711139678955,0.66,14.556108474731445,0.62,0.37136411666870117
806,450,1007,0.6,19.656490325927734,0.68,149.11891055107117,0.66,53.2538480758667
807,500,1147,0.6,12.05910849571228,0.72,119.56815600395203,0.7,65.0417890548706
808,500,1117,0.64,12.11779499053955,0.7,122.43008065223694,0.66,86.1887276172638
809,450,1036,0.72,14.20390796661377,0.76,153.1457052230835,0.7,37.770278215408325
810,400,920,0.62,5.679035663604736,0.68,30.715363025665283,0.6,24.137344360351562
811,500,1086,0.66,3.5909812450408936,0.7,57.370484828948975,0.76,56.882946491241455
812,400,893,0.56,2.898934841156006,0.58,58.782461404800415,0.48,13.736497640609741
813,450,1062,0.74,10.735782146453857,0.74,58.283687591552734,0.72,37.6792631149292
814,400,950,0.6,4.533506870269775,0.6,139.07102918624878,0.58,76.8331470489502
815,400,894,0.62,11.723110437393188,0.72,86.51662611961365,0.72,32.24675226211548
816,500,1118,0.76,0.9323499202728271,0.82,83.68834233283997,0.8,62.838741302490234
817,400,863,0.62,7.704168796539307,0.62,16.523415088653564,0.56,43.515132427215576
818,450,976,0.62,4.5192742347717285,0.68,65.55710363388062,0.62,55.370229721069336
819,450,1037,0.68,17.876487493515015,0.68,57.59985542297363,0.7,20.91217875480652
820,400,921,0.62,1.311910629272461,0.72,30.035078287124634,0.58,23.31850576400757
821,500,1087,0.68,14.165539979934692,0.74,80.44862151145935,0.68,49.56377077102661
822,500,1148,0.74,6.847038269042969,0.8,52.14544677734375,0.74,18.56649923324585
823,450,1008,0.62,3.121005058288574,0.66,10.251710891723633,0.74,64.4473397731781
824,450,1063,0.6,14.629990100860596,0.66,49.869839668273926,0.6,67.36341452598572
825,400,864,0.62,2.1969797611236572,0.66,32.91106629371643,0.64,42.53656888008118
826,400,895,0.7,16.38799285888672,0.74,87.90522956848145,0.64,43.598244190216064
827,400,951,0.62,7.43656325340271,0.64,86.81175756454468,0.68,53.714473485946655
828,400,922,0.6,27.10920548439026,0.62,107.94259738922119,0.68,60.22231864929199
829,450,977,0.66,9.180043935775757,0.74,47.49743843078613,0.72,51.22873830795288
830,500,1149,0.7,11.432928085327148,0.78,122.94786095619202,0.76,87.29800534248352
831,450,1064,0.58,8.476191520690918,0.62,77.4974958896637,0.68,53.971688985824585
832,450,1009,0.66,9.95226764678955,0.72,86.9240882396698,0.64,58.23868107795715
833,450,1038,0.6,4.538137197494507,0.64,57.45955562591553,0.56,86.09627175331116
834,400,923,0.52,15.569153547286987,0.54,25.817505836486816,0.42,15.824719190597534
835,400,896,0.7,10.270130634307861,0.72,99.13006663322449,0.72,50.06500768661499
836,500,1088,0.68,6.8568806648254395,0.76,111.85915732383728,0.68,82.50098586082458
837,400,952,0.56,3.2474329471588135,0.6,16.668760061264038,0.64,89.31698846817017
838,450,978,0.6,0.20429182052612305,0.74,109.26453590393066,0.72,69.49491620063782
839,400,924,0.6,8.55651044845581,0.64,65.47301197052002,0.5,58.34369134902954
840,400,953,0.6,3.3926961421966553,0.66,68.20686054229736,0.56,80.2160701751709
841,400,865,0.68,4.514793395996094,0.76,62.94300651550293,0.62,56.50461030006409
842,450,1010,0.68,21.729678869247437,0.74,44.56392526626587,0.62,93.75788903236389
843,500,1119,0.74,34.92619562149048,0.8,169.3605399131775,0.7,51.62776064872742
844,500,1089,0.56,9.898032903671265,0.64,143.0464186668396,0.68,54.44993185997009
845,400,897,0.58,1.0835292339324951,0.6,52.18878674507141,0.66,73.40013599395752
846,450,1065,0.64,16.22726845741272,0.74,90.04499340057373,0.62,48.86885714530945
847,450,979,0.68,13.556696653366089,0.76,80.52154731750488,0.66,38.21223306655884
848,500,1150,0.62,14.524873733520508,0.76,155.10806727409363,0.62,23.95369553565979
849,400,954,0.6,17.20557999610901,0.62,53.59612560272217,0.62,64.9800615310669
850,450,1011,0.58,10.646610260009766,0.64,69.86901903152466,0.58,92.55839681625366
851,400,925,0.66,10.517697811126709,0.72,136.25212454795837,0.62,84.98621273040771
852,400,898,0.56,14.732909202575684,0.58,99.73450827598572,0.46,37.2842972278595
853,400,866,0.7,15.790170192718506,0.7,43.82786965370178,0.68,47.07772707939148
854,500,1090,0.74,17.27141761779785,0.8,148.0281708240509,0.78,53.19772672653198
855,500,1120,0.68,3.524144172668457,0.8,38.8979127407074,0.72,64.7560625076294
856,450,1066,0.72,1.1670997142791748,0.8,92.61959528923035,0.68,51.028830766677856
857,400,955,0.64,16.434527158737183,0.66,273.68946981430054,0.56,85.53221869468689
858,450,1012,0.6,8.495791912078857,0.64,74.46294593811035,0.72,1.6949326992034912
859,400,926,0.74,24.542423725128174,0.74,234.58735156059265,0.64,38.33511281013489
860,450,1039,0.62,4.50043249130249,0.68,45.350056409835815,0.58,81.38841152191162
861,500,1091,0.76,14.918220520019531,0.76,41.54511499404907,0.8,51.04726266860962
862,450,980,0.66,15.881490468978882,0.64,16.805859327316284,0.68,63.37692928314209
863,450,1013,0.66,3.7209839820861816,0.74,22.73585820198059,0.72,0.8316116333007812
864,400,956,0.54,9.033341407775879,0.52,13.952388763427734,0.52,32.648431062698364
865,400,867,0.6,10.11660361289978,0.66,86.81779360771179,0.56,40.32116222381592
866,450,1067,0.64,10.644622564315796,0.7,18.514769315719604,0.74,16.059770107269287
867,450,981,0.64,19.262690544128418,0.74,105.32430624961853,0.66,32.93294644355774
868,400,927,0.62,0.0625448226928711,0.62,0.6992368698120117,0.64,0.3757057189941406
869,400,899,0.6,21.483423948287964,0.62,173.46189904212952,0.64,33.694035053253174
870,500,1092,0.64,0.5508897304534912,0.7,39.49685263633728,0.64,42.51785850524902
871,500,1121,0.74,1.673185110092163,0.82,54.477948904037476,0.72,46.819501876831055
872,450,1014,0.72,25.283475160598755,0.74,68.13812303543091,0.68,62.762298583984375
873,400,957,0.58,48.07992601394653,0.62,161.83038878440857,0.68,40.21349263191223
874,400,928,0.58,2.3499131202697754,0.6,41.09254002571106,0.58,33.7832567691803
875,450,1068,0.48,0.9168086051940918,0.58,79.53256964683533,0.6,30.208779335021973
876,400,900,0.68,3.8575284481048584,0.7,105.91234803199768,0.58,47.53179144859314
877,400,868,0.54,0.0661618709564209,0.64,80.31274390220642,0.56,54.1328125
878,450,1040,0.64,25.749765157699585,0.66,71.00795555114746,0.7,59.57297229766846
879,500,1151,0.78,8.824200868606567,0.84,21.22055411338806,0.78,34.96034336090088
880,400,958,0.56,8.844510316848755,0.6,24.02713441848755,0.74,0.42408251762390137
881,500,1093,0.6,0.5109357833862305,0.76,2.492961883544922,0.7,9.968687295913696
882,450,1069,0.66,10.985187768936157,0.7,29.653542041778564,0.72,9.0139901638031
883,500,1171,0.72,1.3220884799957275,0.78,117.5860390663147,0.8,46.77309799194336
884,500,1122,0.64,4.408322334289551,0.7,51.6896755695343,0.62,39.59103989601135
885,450,982,0.58,0.018940210342407227,0.72,33.8725221157074,0.62,32.043004274368286
886,400,959,0.6,7.0038135051727295,0.66,137.20557117462158,0.56,49.880155086517334
887,450,1041,0.62,0.5626058578491211,0.74,75.96353030204773,0.68,48.532662868499756
888,500,1152,0.64,18.035608768463135,0.82,95.91129660606384,0.78,64.65166711807251
889,450,1070,0.7,1.5419666767120361,0.8,81.74099111557007,0.64,56.76065540313721
890,450,983,0.64,20.30344557762146,0.64,118.33962965011597,0.66,34.38166546821594
891,400,960,0.62,12.97938847541809,0.66,99.70792579650879,0.66,51.52348589897156
892,400,869,0.54,5.7441136837005615,0.54,119.70699667930603,0.52,49.33174228668213
893,500,1172,0.62,6.416029453277588,0.7,96.75031781196594,0.72,41.44646501541138
