,model,n,p,k,seed,method,time,accuracy,n_iters
252,linear,100,500,50,28,SCOPE_jit,1.3668858050004928,0.28,44.0
253,linear,100,500,50,28,SCOPE,18.38600133,0.28,44.0
254,linear,100,500,50,28,GraSP_jit,6.013760821000687,0.24,82.0
255,linear,100,500,50,28,GraSP,87.05152791599994,0.24,82.0
256,linear,100,500,50,28,IHT_jit,0.22763569099970482,0.36,2.0
257,linear,100,500,50,28,IHT,0.17858019999948738,0.36,2.0
258,linear,100,500,50,28,HTP_jit,0.3352743460000056,0.3,9.0
259,linear,100,500,50,28,HTP,2.5261330900002577,0.3,9.0
260,linear,100,500,50,28,CVXPY,0.03862235900032829,0.38,0.0
261,linear,100,500,50,29,SCOPE_jit,0.6859728749996066,0.32,20.0
262,linear,100,500,50,29,SCOPE,10.88902278400019,0.32,20.0
263,linear,100,500,50,29,GraSP_jit,1.9231951239999034,0.32,35.0
264,linear,100,500,50,29,GraSP,32.82292471399978,0.32,35.0
265,linear,100,500,50,29,IHT_jit,0.2738847620003071,0.36,2.0
266,linear,100,500,50,29,IHT,0.5027225829999225,0.36,2.0
267,linear,100,500,50,29,HTP_jit,0.7338336559996606,0.24,29.0
268,linear,100,500,50,29,HTP,8.368277785999453,0.24,29.0
269,linear,100,500,50,29,CVXPY,0.013142850999429356,0.28,0.0
270,linear,100,500,50,30,SCOPE_jit,0.8103450309999971,0.24,25.0
271,linear,100,500,50,30,SCOPE,10.940156446999936,0.24,25.0
272,linear,100,500,50,30,GraSP_jit,4.540834035999978,0.2,83.0
273,linear,100,500,50,30,GraSP,73.49469503900036,0.2,83.0
274,linear,100,500,50,30,IHT_jit,0.31807260000005044,0.32,4.0
275,linear,100,500,50,30,IHT,0.5628824429995802,0.32,4.0
276,linear,100,500,50,30,HTP_jit,0.402016282000659,0.22,8.0
277,linear,100,500,50,30,HTP,3.3291124659999696,0.22,8.0
278,linear,100,500,50,30,CVXPY,0.08032193500002904,0.34,0.0
279,linear,100,500,50,31,SCOPE_jit,1.7250249839999015,0.16,24.0
280,linear,100,500,50,31,SCOPE,12.88563796300059,0.16,24.0
281,linear,100,500,50,31,GraSP_jit,4.490489963000073,0.2,99.0
282,linear,100,500,50,31,GraSP,98.43704603799961,0.2,99.0
283,linear,100,500,50,31,IHT_jit,0.2471193809997203,0.28,1.0
284,linear,100,500,50,31,IHT,0.20877614399978484,0.28,1.0
285,linear,100,500,50,31,HTP_jit,0.7174659050006085,0.24,53.0
286,linear,100,500,50,31,HTP,22.91394153500005,0.24,53.0
287,linear,100,500,50,31,CVXPY,0.06416671799979667,0.32,0.0
288,linear,100,500,50,32,SCOPE_jit,0.6776394349999464,0.22,18.0
289,linear,100,500,50,32,SCOPE,8.73050293200049,0.22,18.0
290,linear,100,500,50,32,GraSP_jit,1.2299797119994764,0.2,24.0
291,linear,100,500,50,32,GraSP,24.49332761900041,0.2,24.0
292,linear,100,500,50,32,IHT_jit,0.24493066200011526,0.22,2.0
293,linear,100,500,50,32,IHT,0.4501715129999866,0.22,2.0
294,linear,100,500,50,32,HTP_jit,0.38976244700006646,0.22,9.0
295,linear,100,500,50,32,HTP,2.9071746420004274,0.22,9.0
296,linear,100,500,50,32,CVXPY,0.05140177900011622,0.26,0.0
297,linear,100,500,50,33,SCOPE_jit,0.599330689999988,0.28,19.0
298,linear,100,500,50,33,SCOPE,8.193251296999733,0.28,19.0
