,model,n,p,k,seed,method,time,accuracy
178,linear,400,500,50,35,HTP_jit,0.1903987298719585,0.98
179,linear,400,500,50,35,CVXPY,0.18570911302231252,0.82
180,linear,400,500,50,36,SCOPE_jit,1.0798222061712295,1.0
181,linear,400,500,50,36,GraSP_jit,2.7754246089607477,1.0
182,linear,400,500,50,36,IHT_jit,0.24064155900850892,0.94
183,linear,400,500,50,36,HTP_jit,0.2355811141896993,1.0
184,linear,400,500,50,36,CVXPY,0.05172690795734525,0.8
185,linear,400,500,50,37,SCOPE_jit,0.4922360139898956,1.0
186,linear,400,500,50,37,GraSP_jit,1.8048372159246355,0.98
187,linear,400,500,50,37,IHT_jit,0.21857510693371296,0.96
188,linear,400,500,50,37,HTP_jit,0.31413542991504073,1.0
189,linear,400,500,50,37,CVXPY,0.04844097699970007,0.88
190,linear,400,500,50,38,SCOPE_jit,1.5340204709209502,1.0
191,linear,400,500,50,38,GraSP_jit,4.403683014912531,0.98
192,linear,400,500,50,38,IHT_jit,0.4850827381014824,1.0
193,linear,400,500,50,38,HTP_jit,0.32292758394032717,1.0
194,linear,400,500,50,38,CVXPY,0.08925664983689785,0.84
195,linear,400,500,50,39,SCOPE_jit,0.7810310928616673,1.0
196,linear,400,500,50,39,GraSP_jit,0.586434454889968,0.96
197,linear,400,500,50,39,IHT_jit,0.4508446140680462,0.88
198,linear,400,500,50,39,HTP_jit,0.7562395341228694,1.0
199,linear,400,500,50,39,CVXPY,0.21103679691441357,0.74
200,linear,500,500,50,40,SCOPE_jit,0.6698526297695935,1.0
201,linear,500,500,50,40,GraSP_jit,0.48094554897397757,0.98
202,linear,500,500,50,40,IHT_jit,0.23718837997876108,1.0
203,linear,500,500,50,40,HTP_jit,0.46447896491736174,1.0
204,linear,500,500,50,40,CVXPY,0.06968495505861938,0.34
205,linear,500,500,50,41,SCOPE_jit,0.8518344161566347,1.0
206,linear,500,500,50,41,GraSP_jit,2.6842825450003147,0.98
207,linear,500,500,50,41,IHT_jit,0.3718762528151274,1.0
