{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.4861111044883728}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.6157407164573669}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.6342592835426331}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.6342592835426331}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6342592835426331}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 225, 'accuracy': 0.7898058295249939}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.6388888955116272}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.6481481790542603}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 250, 'accuracy': 0.7883495092391968}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 5, 'accuracy': 0.21296297013759613}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 10, 'accuracy': 0.1527777761220932}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 200, 'accuracy': 0.7941747903823853}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 15, 'accuracy': 0.15740740299224854}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6606796383857727}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 20, 'accuracy': 0.1666666716337204}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.7825242877006531}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.5740740895271301}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.625}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 25, 'accuracy': 0.16203704476356506}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.6203703880310059}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.6064814925193787}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 200, 'accuracy': 0.7917475700378418}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6064814925193787}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.6018518805503845}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.6111111044883728}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7427184581756592}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6466019749641418}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 30, 'accuracy': 0.28703704476356506}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7315534353256226}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7713592648506165}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 225, 'accuracy': 0.784466028213501}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.7936893105506897}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.45370370149612427}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'GraspSolver', 'num_selected_features': 35, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.5972222089767456}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.5972222089767456}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7601941823959351}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6616504788398743}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 100, 'accuracy': 0.7796116471290588}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7436893582344055}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 100, 'accuracy': 0.7660194635391235}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.7873786687850952}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.5740740895271301}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.6620370149612427}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.6342592835426331}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.6388888955116272}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6342592835426331}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 125, 'accuracy': 0.7907767295837402}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.6342592835426331}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.6388888955116272}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 125, 'accuracy': 0.7747573256492615}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6601942181587219}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7747573256492615}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7359223365783691}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 225, 'accuracy': 0.791262149810791}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 100, 'accuracy': 0.7776699066162109}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 150, 'accuracy': 0.7902912497520447}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 150, 'accuracy': 0.7742718458175659}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 225, 'accuracy': 0.7917475700378418}
{'dataset': 'Activity', 'method': 'GraspSolver', 'num_selected_features': 25, 'accuracy': 0.5966019630432129}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 125, 'accuracy': 0.7805825471878052}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7665048837661743}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 225, 'accuracy': 0.7975728511810303}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 175, 'accuracy': 0.791262149810791}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 100, 'accuracy': 0.7747573256492615}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 175, 'accuracy': 0.775728166103363}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 150, 'accuracy': 0.7849514484405518}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 125, 'accuracy': 0.7825242877006531}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.7898058295249939}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.5462962985038757}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.6759259104728699}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.6712962985038757}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.6805555820465088}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6759259104728699}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 200, 'accuracy': 0.7898058295249939}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.6759259104728699}
{'dataset': 'Activity', 'method': 'GraspSolver', 'num_selected_features': 50, 'accuracy': 0.4771844744682312}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.6759259104728699}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6665048599243164}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 150, 'accuracy': 0.7839806079864502}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 175, 'accuracy': 0.7873786687850952}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.7961165308952332}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.5}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.5416666865348816}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.5462962985038757}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.5462962985038757}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7441747784614563}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.5509259104728699}
{'dataset': 'Activity', 'method': 'ScopeSolver', 'num_selected_features': 250, 'accuracy': 0.794660210609436}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 5, 'accuracy': 0.5601851940155029}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.5462962985038757}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 10, 'accuracy': 0.6712962985038757}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.5740740895271301}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 15, 'accuracy': 0.8101851940155029}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 20, 'accuracy': 0.8287037014961243}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6752427220344543}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.8240740895271301}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7786408066749573}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 30, 'accuracy': 0.8240740895271301}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 175, 'accuracy': 0.7868932485580444}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7509709000587463}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 200, 'accuracy': 0.7893204092979431}
{'dataset': 'Mice', 'method': 'HTPSolver', 'num_selected_features': 35, 'accuracy': 0.8333333134651184}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 25, 'accuracy': 0.6533980965614319}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 100, 'accuracy': 0.7815533876419067}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 225, 'accuracy': 0.7927184700965881}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 50, 'accuracy': 0.7393203973770142}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 75, 'accuracy': 0.7805825471878052}
{'dataset': 'Activity', 'method': 'HTPSolver', 'num_selected_features': 250, 'accuracy': 0.7922330498695374}
