(864, 77) (864,)
(216, 77) (216,)
(8239, 561) (8239,)
(2060, 561) (2060,)
(6237, 617) (6237,)
(1560, 617) (1560,)
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 45, 'accuracy': Array(0.3240741, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 50, 'accuracy': Array(0.6342593, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 55, 'accuracy': Array(0.8240741, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 60, 'accuracy': Array(0.8842593, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 65, 'accuracy': Array(0.8935185, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 70, 'accuracy': Array(0.8981482, dtype=float32), 'seed': 16}
{'dataset': 'Mice', 'method': 'IHTSolver', 'num_selected_features': 75, 'accuracy': Array(0.9583333, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 50, 'accuracy': Array(0.9412622, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 100, 'accuracy': Array(0.9626214, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 150, 'accuracy': Array(0.97572815, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 200, 'accuracy': Array(0.9771845, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 250, 'accuracy': Array(0.98058254, dtype=float32), 'seed': 16}
{'dataset': 'Activity', 'method': 'IHTSolver', 'num_selected_features': 300, 'accuracy': Array(0.9771845, dtype=float32), 'seed': 16}
